timestamp,est_time,market,side,type,entry_price,exit_price,qty,pnl,exit_reason,remaining_at_entry,leader_bid_total,leader_ask_total,leader_bid_70plus,leader_spread,leader_best_bid,leader_best_ask,other_bid_total,other_ask_total,other_spread,depth_ratio,speed_to_60,speed_to_70,btc_price,btc_move,prev_side,prev_outcome,filtered,filter_reasons,skip_reason,up_high,down_high,avg_spread
2026-03-06 03:14:55,03:14:55 AM,"Bitcoin Up or Down - March 6, 3:10AM-3:15AM ET",Up,phantom-no_leader,0.66,1.0,30,10.2,phantom-win,59.12292218208313,0,0,0,0,0,0,0,0,0,0,0,0,70941.64,2.9199999999982538,,,True,skipped_no_leader,no_leader,0.6,0.49,0
2026-03-06 03:19:35,03:19:35 AM,"Bitcoin Up or Down - March 6, 3:15AM-3:20AM ET",Down,phantom-choppy,0.83,0.25,24,-13.92,phantom-lose,59.9302761554718,0,0,0,0,0,0,0,0,0,0,0,0,70905.31,55.69999999999709,,,True,skipped_choppy,choppy,0.69,0.87,0
2026-03-06 03:23:11,03:23:11 AM,"Bitcoin Up or Down - March 6, 3:20AM-3:25AM ET",Down,phantom-filtered,0.82,0.95,24,3.12,phantom-win,179.73320698738098,11293.92,38389.94,4143.18,0.01,0.81,0.82,1482.19,43061.52,0.01,7.62,0.0,0.0,70916.6,30.0,,,True,btc_move=$30<$40,,0,0,0
2026-03-06 03:29:27,03:29:27 AM,"Bitcoin Up or Down - March 6, 3:25AM-3:30AM ET",Down,phantom-filtered,0.71,0.21,28,-14.0,phantom-lose,157.55280327796936,4311.15,36807.85,41.82,0.01,0.7,0.71,1699.83,38829.64,0.01,2.54,0.0,0.0,70844.91,1.0100000000093132,,,True,bid_70+=$42<$200|depth_ratio=2.5x<4x|btc_move=$1<$40,,0,0,0
2026-03-06 03:32:43,03:32:43 AM,"Bitcoin Up or Down - March 6, 3:30AM-3:35AM ET",Up,real,0.74,0.94,27.0,5.4,tp,173.62039303779602,8049.32,31191.74,212.49,0.02,0.72,0.74,1447.18,42990.43,0.02,5.56,16.169309377670288,66.21464157104492,70984.91,66.04000000000815,,,False,,,0,0,0
2026-03-06 03:38:10,03:38:10 AM,"Bitcoin Up or Down - March 6, 3:35AM-3:40AM ET",Up,phantom-filtered,0.8,0.28,25,-13.0,phantom-lose,178.94371271133423,11393.45,36812.34,4262.32,0.01,0.79,0.8,1706.65,41635.51,0.01,6.68,0.0,0.0,71005.7,12.509999999994761,Up,tp,True,btc_move=$13<$40,,0,0,0
2026-03-06 03:44:55,03:44:55 AM,"Bitcoin Up or Down - March 6, 3:40AM-3:45AM ET",Up,phantom-filtered,0.81,1.0,24,4.56,phantom-win,179.76104140281677,7972.58,33962.8,2611.52,0.01,0.8,0.81,1432.17,41005.72,0.01,5.57,0.0,0.0,70980.0,31.50999999999476,Up,tp,True,btc_move=$32<$40,,0,0,0
2026-03-06 03:49:55,03:49:55 AM,"Bitcoin Up or Down - March 6, 3:45AM-3:50AM ET",Up,phantom-filtered,0.72,0,27,-19.44,phantom-lose,142.9062168598175,7005.15,33163.72,468.88,0.01,0.71,0.72,1782.38,37110.28,0.01,3.93,0.0,96.84333086013794,70941.64,0.75,Up,tp,True,depth_ratio=3.9x<4x|btc_move=$1<$40,,0,0,0
2026-03-06 03:54:10,03:54:10 AM,"Bitcoin Up or Down - March 6, 3:50AM-3:55AM ET",Down,phantom-filtered,0.71,0.94,28,6.44,phantom-win,177.20807886123657,2874.88,31163.29,372.21,0.01,0.7,0.71,1824.44,31060.48,0.01,1.58,15.173604726791382,52.37974524497986,70837.8,56.31999999999243,Up,tp,True,depth_ratio=1.6x<4x,,0,0,0
2026-03-06 03:59:13,03:59:13 AM,"Bitcoin Up or Down - March 6, 3:55AM-4:00AM ET",Down,phantom-filtered,0.72,0.94,27,5.94,phantom-win,97.94240355491638,2489.53,28027.97,6.92,0.01,0.71,0.72,1274.4,26530.37,0.01,1.95,0.0,3.3913049697875977,70754.04,26.44000000000233,Up,tp,True,bid_70+=$7<$200|depth_ratio=1.9x<4x|btc_move=$26<$40,,0,0,0
2026-03-06 04:03:32,04:03:32 AM,"Bitcoin Up or Down - March 6, 4:00AM-4:05AM ET",Down,phantom-filtered,0.72,0.23,27,-13.23,phantom-lose,142.84921717643738,8057.55,29064.91,65.56,0.02,0.7,0.72,1610.4,33635.29,0.03,5.0,3.421346664428711,33.06182599067688,70746.63,21.25999999999476,Up,tp,True,bid_70+=$66<$200|btc_move=$21<$40,,0,0,0
